,Neighborhood,Latitude,Longitude
0,Phillips West,44.9538581,-93.266298
1,Downtown West,44.9742,-93.2733
2,Downtown East,44.9749768,-93.2599336
3,Ventura Village,44.9618,-93.2582
4,Sumner - Glenwood,44.9837127,-93.2914054
5,Shingle Creek,45.0363229,-93.2929179
6,Lind - Bohanon,45.0434636,-93.2921661
7,Webber - Camden,45.0299229,-93.2948268
8,Bottineau,45.0105656,-93.2693041
9,Victory,45.0316525,-93.3151902
10,Humboldt Industrial Area,44.94865,-93.30077
11,Howe,44.9367168,-93.2159479
12,Hiawatha,44.9240436,-93.2121333
13,Windom,44.8987487,-93.2825491
14,Ericsson,44.921725,-93.2318907
15,Field,44.9168278,-93.2684148
16,Page,44.907684,-93.2682177
17,Como,44.92464675,-93.31111431693155
18,Cedar Riverside,44.9685112,-93.244918
19,Prospect Park - East River Road,44.96752735,-93.21740532955215
20,University of Minnesota,44.97308605,-93.23708812629405
21,Jordan,45.0091288,-93.3059634
22,Hawthorne,45.0057002,-93.286866
23,Willard - Hay,44.9942242,-93.3111154
24,Near - North,44.9922871,-93.2929815
25,Harrison,44.9811469,-93.3038176
26,Loring Park,44.97008875,-93.28443892621355
27,Steven's Square - Loring Heights,44.9645127,-93.2782254
28,Minnehaha,44.9097061,-93.2136951
29,Diamond Lake,44.8985811,-93.262468
30,Cooper,44.9470334,-93.2123923
31,Tangletown,44.9118992,-93.280911
32,North Loop,44.9880104,-93.2760418
33,Hale,44.9091573,-93.2547659
34,Keewaydin,44.9097869,-93.2301939
35,Fulton,44.9111394,-93.3182044
36,Lynnhurst,44.9151223,-93.2909883
37,Bancroft,44.9305701,-93.254929
38,Standish,44.9306662,-93.237309
39,Seward,44.9599138,-93.2324361
40,Longfellow,44.9412132,-93.2192997
41,Lowry Hill East,44.9556324,-93.2919824
42,ECCO,44.94382805,-93.30424722066036
43,South Uptown,44.9411,-93.2911
44,East Phillips,44.955016349999994,-93.24759956827911
45,Cleveland,45.0179414,-93.3129586
46,Wenonah,44.9007638,-93.2343118
47,Holland,45.0119062,-93.2559265
48,Audubon Park,45.0188831,-93.236355
49,Regina,44.9226419,-93.268251
50,Northrop,44.9198839,-93.2551777
51,Sheridan,45.0018668,-93.2648453
52,Logan Park,45.002191,-93.2530862
53,Windom Park,45.0098878,-93.2364194
54,Linden Hills,44.9275198,-93.3194516
55,East Harriet,44.9277521,-93.2914871
56,King Field,44.929493,-93.2811511
57,Morris Park,44.9009822,-93.2158617
58,Mid - City Industrial,44.9989,-93.2178
59,Midtown Phillips,44.9549212,-93.256589
60,West Calhoun,44.942516499999996,-93.31965593497566
61,Bryn - Mawr,44.9738262,-93.3087786
62,Northeast Park,45.0062772,-93.2311193
63,St. Anthony West,44.993972,-93.2628981
64,St. Anthony East,44.9959591,-93.2526414
65,Central,44.9772995,-93.2654692
66,Powderhorn Park,44.9399395,-93.2553694
67,Corcoran,44.9420971,-93.2413564
68,Bryant,44.9307208,-93.2681007
69,Kenny,44.8998571,-93.2965046
70,Armatage,44.8972364,-93.3103424
71,Beltrami,44.9953521,-93.2425133
72,Cedar - Isles - Dean,44.9541436,-93.31698679482474
73,Kenwood,44.9620866,-93.3105226
74,Lowry Hill,44.9647973,-93.2962729
75,East Isles,44.9555725,-93.2993926
76,Elliot Park,44.96967535,-93.25976150342956
77,Nicollet Island - East Bank,44.9879,-93.2629
78,Marcy Holmes,44.9868868,-93.2454341
79,Folwell,45.0178663,-93.3003844
80,McKinley,45.0187711,-93.2889947
81,Camden Industrial,44.9976958,-93.2114513
82,Columbia Park,45.0307128,-93.2631771
83,Waite Park,45.0283387,-93.2360755
84,Marshall Terrace,45.02087,-93.2688194
85,Whittier,44.9564414,-93.2789924
86,Lyndale,44.9429311,-93.2813719
87,St Anthony Park,44.9792223,-93.1935349
88,Como,44.975877800000006,-93.13126619063019
89,North End,32.78428945,-96.79705056912327
90,Hamline-Midway,44.962946,-93.16692702069861
91,Macalester-Groveland,44.9343,-93.167
92,Highland,44.9098535,-93.16834402353683
93,West Side Community Organization,44.9298,-93.078
94,Summit Hill Association,44.9399,-93.1364
95,Summit-University,44.9518,-93.1263
96,Thomas-Dale/Frogtown,44.9594,-93.1212
97,West 7th Federation/Fort Road,44.9277,-93.127
98,CapitolRiver Council,44.9512,-93.0952
99,Payne-Phalen,44.9775,-93.066
100,The Greater East Side,44.9741,-93.024
101,Dayton's Bluff,44.941376500000004,-93.04251752131488
102,Eastview-Conway-Battle Creek-Highwood Hills,44.9525,-93.0117
103,Union Park,44.9484,-93.1746
